radiation,city,state,extra,county,latitude,longitude,postal_code,state_code
1209.0,Grebenau,Hessen,Reg.-Bez. Gießen,Vogelsbergkreis,50.7424,9.4731,36323,HE
1208.0,Gollwitz,Brandenburg,,Kreisfreie Stadt Brandenburg an der Havel,52.4195,12.6451,14778,BB
1208.0,Münster,Nordrhein-Westfalen,Reg.-Bez. Münster,"Münster, Stadt",51.903,7.6395,48165,NW
1208.0,Herne,Nordrhein-Westfalen,Reg.-Bez. Arnsberg,"Herne, Stadt",51.5448,7.1691,44653,NW
1208.0,Kehnert,Sachsen-Anhalt,,Landkreis Stendal,52.343,11.8592,39517,ST
1207.0,Dortmund,Nordrhein-Westfalen,Reg.-Bez. Arnsberg,"Dortmund, Stadt",51.553,7.5385,44328,NW
1206.0,Miesterhorst,Sachsen-Anhalt,,Altmarkkreis Salzwedel,52.4605,11.1412,39649,ST
1205.0,Pattensen,Niedersachsen,,Region Hannover,52.2645,9.7644,30982,NI
1205.0,Berlin,Berlin,,"Berlin, Stadt",52.3886,13.3907,12307,BE
1205.0,Kircheib,Rheinland-Pfalz,,Landkreis Altenkirchen,50.7092,7.4597,57635,RP
1204.0,Schwülper,Niedersachsen,,Landkreis Gifhorn,52.3481,10.4463,38179,NI
