postal_code,city,state,state_code,extra,county,latitude,longitude,radiation
33142,Büren,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Paderborn,51.5511,8.5596,1190.0
27324,Gandesbergen,Niedersachsen,NI,,Landkreis Nienburg/Weser,52.76,9.2256,1190.0
33332,Gütersloh,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,Gütersloh,51.9005,8.3837,1190.0
56459,Winnen,Rheinland-Pfalz,RP,,Westerwaldkreis,50.5733,8.0117,1190.0
16727,Velten,Brandenburg,BB,,Landkreis Oberhavel,52.6915,13.1753,1190.0
37441,Bad Sachsa,Niedersachsen,NI,,Landkreis Göttingen,51.595,10.5555,1190.0
27327,Martfeld,Niedersachsen,NI,,Landkreis Diepholz,52.8757,9.0608,1190.0
16278,Görlsdorf,Brandenburg,BB,,Landkreis Uckermark,53.0532,13.9423,1190.0
31867,Pohle,Niedersachsen,NI,,Landkreis Schaumburg,52.2663,9.344,1189.0
18442,Wendorf,Mecklenburg-Vorpommern,MV,,Vorpommern-Rügen,54.2554,13.0768,1189.0
16356,Hirschfelde,Brandenburg,BB,,Landkreis Barnim,52.6367,13.7993,1189.0
37412,Elbingerode,Niedersachsen,NI,,Landkreis Göttingen,51.6592,10.2777,1189.0
51688,Wipperfürth,Nordrhein-Westfalen,NW,Regierungsbezirk Köln,Oberbergischer Kreis,51.1161,7.3986,1189.0
51674,Wiehl,Nordrhein-Westfalen,NW,Regierungsbezirk Köln,Oberbergischer Kreis,50.9495,7.5506,1189.0
31699,Beckedorf,Niedersachsen,NI,,Landkreis Schaumburg,52.35,9.3167,1189.0
31700,Heuerßen Kobbensen,Niedersachsen,NI,,Landkreis Schaumburg,52.3384,9.2904,1189.0
56459,Stockum-Püschen,Rheinland-Pfalz,RP,,Westerwaldkreis,50.6047,7.9036,1189.0
16278,Schmargendorf,Brandenburg,BB,,Landkreis Uckermark,52.9815,13.9585,1189.0
31867,Lauenau Lauenau,Niedersachsen,NI,,Landkreis Schaumburg,52.2679,9.371,1189.0
35085,Ebsdorfergrund,Hessen,HE,Reg.-Bez. Gießen,Marburg-Biedenkopf,50.726,8.857,1189.0
35466,Rabenau,Hessen,HE,Reg.-Bez. Gießen,Gießen,50.6775,8.8643,1189.0
16278,Steinhöfel,Brandenburg,BB,,Landkreis Uckermark,53.0946,13.8787,1189.0
35274,Kirchhain,Hessen,HE,Reg.-Bez. Gießen,Marburg-Biedenkopf,50.8272,8.9281,1189.0
57629,Steinebach an der Wied,Rheinland-Pfalz,RP,,Westerwaldkreis,50.6333,7.8167,1189.0
31552,Apelern Apelern,Niedersachsen,NI,,Landkreis Schaumburg,52.2895,9.3336,1189.0
56459,Stahlhofen am Wiesensee,Rheinland-Pfalz,RP,,Westerwaldkreis,50.5833,7.9833,1189.0
57537,Forst,Rheinland-Pfalz,RP,,Landkreis Altenkirchen,50.8,7.6833,1189.0
94227,Lindberg,Bayern,BY,Lower Bavaria,Landkreis Regen,49.0368,13.2542,1189.0
39615,Werben (Elbe),Sachsen-Anhalt,ST,,Landkreis Stendal,52.8667,11.9833,1189.0
29468,Bergen (Dumme) Belau,Niedersachsen,NI,,Lüchow-Dannenberg,52.8757,10.9483,1189.0
1816,Bad Gottleuba-Berggießhübel,Sachsen,SN,,Landkreis Sächsische Schweiz,50.8583,13.95,1189.0
97772,Wildflecken,Bayern,BY,Regierungsbezirk Unterfranken,Landkreis Bad Kissingen,50.3776,9.9109,1189.0
31559,Hohnhorst Rehren A.R.,Niedersachsen,NI,,Landkreis Schaumburg,52.3731,9.3409,1189.0
31626,Haßbergen,Niedersachsen,NI,,Landkreis Nienburg/Weser,52.7333,9.2333,1189.0
37632,Eimen,Niedersachsen,NI,,Landkreis Holzminden,51.8833,9.7833,1189.0
16321,Lindenberg,Brandenburg,BB,,Landkreis Barnim,52.6026,13.5244,1189.0
31867,Lauenau,Niedersachsen,NI,,Landkreis Schaumburg,52.2739,9.3693,1189.0
9430,Venusberg,Sachsen,SN,,Erzgebirgskreis,50.6992,13.0185,1189.0
13089,Berlin,Berlin,BE,,"Berlin, Stadt",52.5707,13.441,1189.0
56459,Bellingen,Rheinland-Pfalz,RP,,Westerwaldkreis,50.6,7.9,1189.0
31552,Apelern,Niedersachsen,NI,,Landkreis Schaumburg,52.2898,9.3358,1189.0
29468,Bergen (Dumme) Malsleben,Niedersachsen,NI,,Lüchow-Dannenberg,52.8742,10.9229,1189.0
14715,Milow,Brandenburg,BB,,Landkreis Havelland,52.5195,12.3115,1189.0
8297,Zwönitz,Sachsen,SN,,Erzgebirgskreis,50.6303,12.81,1189.0
16306,Luckow-Petershagen,Brandenburg,BB,,Landkreis Uckermark,53.2435,14.2573,1189.0
13407,Berlin,Berlin,BE,,"Berlin, Stadt",52.5727,13.3512,1189.0
13409,Berlin,Berlin,BE,,"Berlin, Stadt",52.5679,13.3714,1189.0
56457,Hergenroth,Rheinland-Pfalz,RP,,Westerwaldkreis,50.5828,7.9747,1189.0
57629,Müschenbach,Rheinland-Pfalz,RP,,Westerwaldkreis,50.6833,7.7833,1189.0
13437,Berlin,Berlin,BE,,"Berlin, Stadt",52.5905,13.3284,1189.0
56479,Seck,Rheinland-Pfalz,RP,,Westerwaldkreis,50.5772,8.0497,1189.0
18461,Franzburg,Mecklenburg-Vorpommern,MV,,Vorpommern-Rügen,54.185,12.8821,1189.0
3202,Luckow-Petershagen,Brandenburg,BB,,Landkreis Uckermark,53.2435,14.2573,1189.0
8280,Aue,Sachsen,SN,,Erzgebirgskreis,50.5903,12.7066,1189.0
57539,Bitzen,Rheinland-Pfalz,RP,,Landkreis Altenkirchen,50.8,7.6833,1189.0
27318,Hilgermissen,Niedersachsen,NI,,Landkreis Nienburg/Weser,52.85,9.1667,1189.0
29465,Schnega Thune,Niedersachsen,NI,,Lüchow-Dannenberg,52.8553,10.9125,1189.0
98587,Bermbach,Thüringen,TH,,Landkreis Schmalkalden-Meiningen,50.6778,10.5963,1189.0
17291,Schenkenberg,Brandenburg,BB,,Landkreis Uckermark,53.3667,13.95,1189.0
